sample_id,tissue_type,chip_id_primary,chip_id_alt,notes,comet_bs_available,visiopharm_mld_available,geojson_available,he_available,msi_available,stomics_cellbin_available
SO1,Endometrial,,"",From H&E second set,Yes,Yes,Yes,Yes,No,
SO2,Endometrial,,"",No STOmics reference,Yes,Yes,Yes,No,No,
SO4,Endometrial,,"",From H&E second set,Yes,Yes,Yes,Yes,No,
SO5,Endometrial,,"",From H&E second set,Yes,Yes,Yes,Yes,No,
SO6,Endometrial,,"",From H&E second set,Yes,Yes,Yes,Yes,No,
SO8,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO9,Endometrial,,"",No H&E,Yes,Yes,Yes,No,No,
SO10,Endometrial,,"",No H&E,Yes,Yes,Yes,No,No,
SO11,Endometrial,,"",No H&E,Yes,Yes,Yes,No,No,
SO12,Endometrial,,"",No H&E,Yes,Yes,Yes,No,No,
SO13,Endometrial,,"",No MLD/GeoJSON/H&E,Yes,Yes,No,No,No,
SO14,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO15,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO19,Endometrial,,"",Only H&E available,No,No,No,Yes,No,
SO20,Endometrial,,"",Aligned MLD/GeoJSON,Yes,Yes,Yes,No,No,
SO22,Endometrial,,"",Aligned MLD/GeoJSON; From H&E second set,Yes,Yes,Yes,Yes,No,
SO23,Endometrial,,"",Only H&E available,Yes,No,No,Yes,No,
SO24,Ovarian,,"",Complete multimodal; H&E top-level,Yes,Yes,Yes,Yes,Yes,No
SO25,Endometrial,,"",Aligned MLD/GeoJSON,Yes,Yes,Yes,No,No,
SO26,Endometrial,,"",No H&E,Yes,Yes,Yes,No,No,
SO30,Endometrial,,"",Aligned MLD/GeoJSON; From H&E second set,Yes,Yes,Yes,Yes,No,
SO32,Ovarian,,"",Complete multimodal; H&E top-level,Yes,Yes,Yes,Yes,Yes,No
SO33,Ovarian,,"",Complete multimodal; H&E top-level,Yes,Yes,Yes,Yes,Yes,No
SO34,Ovarian,,"",Complete multimodal; H&E top-level (both S034 and SO34),Yes,Yes,Yes,Yes,Yes,
SO36,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO39,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO40,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO44,Ovarian,,"",Complete multimodal; H&E top-level,Yes,Yes,Yes,Yes,Yes,
SO45,Ovarian,,"",Complete multimodal; H&E top-level,Yes,Yes,Yes,Yes,Yes,
SO46,Endometrial,,"",No H&E,Yes,Yes,Yes,No,No,
SO47,Endometrial,,"",Aligned MLD/GeoJSON,Yes,Yes,Yes,No,No,
SO48,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO50,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO51,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO52,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO53,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO54,Endometrial,,"",From H&E third set,Yes,Yes,Yes,Yes,No,
SO55,Endometrial,,"",Only COMET/H&E (no GeoJSON); From H&E third set,Yes,Yes,No,Yes,No,
SO56,Endometrial,,"",Only COMET/H&E (no GeoJSON); From H&E third set,Yes,Yes,No,Yes,No,
SO57,Endometrial,,"",Only H&E available,No,No,No,Yes,No,
SO58,Endometrial,,"",COMET/H&E/MLD only (no GeoJSON),Yes,Yes,No,Yes,No,
SO59,Endometrial,,"",Aligned MLD; No GeoJSON; H&E third set,Yes,Yes,No,Yes,No,
SO64,Endometrial,,"",Only COMET/H&E (no GeoJSON); From H&E third set,Yes,Yes,No,Yes,No,
SO67,Endometrial,,"",Only COMET/MLD,Yes,Yes,No,No,No,
