chip_id,primary_location,alt_location_1,alt_location_2,notes
A03979E2,T:/Sammy Data,T:/Data/215_Sammy_Data/6_Files_Mar3,,"Duplicate in both locations"
A03979G5,T:/Sammy Data,,"Primary only"
A04100A6,,T:/Data/215_Sammy_Data/6_Files_Mar3,,"Alt location 1 only"
B04101A3,,T:/Data/215_Sammy_Data/6_Files_Mar3,,"Alt location 1 only"
B04101E6,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
B04106C3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C03027C4,T:/Sammy Data,,"Primary only"
C03027F5,T:/Sammy Data,,"Primary only"
C03030F4,T:/Sammy Data,,T:/Data/215_Sammy_Data/Sammy Data,"Primary + Alt location 2"
C03036D6,T:/Sammy Data,,T:/Data/215_Sammy_Data/Sammy Data,"Primary + Alt location 2"
C03137D4,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C03137E3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C03137E6,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C03449E3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C03450G3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04138A5,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04138E4,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04138F3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04139D3,,T:/Data/215_Sammy_Data/6_Files_Mar3,,"Alt location 1 only"
C04139G2,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04140A3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04140G4,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04141G2,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04142G4,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04143C6,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04143D3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04143F3,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
C04143G2,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
D03451C5,,T:/Data/215_Sammy_Data/6_Files_Mar3,,"Alt location 1 only"
D03453A6,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
D03453C2,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
D04160C4,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
D04164A1,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
D04165F6,,,T:/Data/215_Sammy_Data/Sammy Data,"Alt location 2 only"
D04165G2,,T:/Data/215_Sammy_Data/6_Files_Mar3,,"Alt location 1 only"
